File Name: ,Test Description: ,Operator: ,Special Comments: ,Date and Time: 21 Dec 2020_120451,Sampling Rate (Hz): 100,
Calibration Constants,8.625 N/V,7.791 N/V,7.941 N/V
Offsets,0.000 N,0.000 N,0.000 N
Micrometer,12.800 mm,12.800 mm,12.800 mm
Time (s),LC-X (N),LC-Y(N),LC-Z (N),Angle (deg),Est. Speed (rev/s)
0.000,8.624,8.175,8.170,0.900,0.000
0.010,8.624,8.101,8.170,0.900,0.000
0.020,8.627,8.072,8.142,0.900,0.000
0.030,8.624,8.057,8.097,0.900,0.000
0.040,8.621,8.047,8.076,0.900,0.000
0.050,8.621,8.034,8.058,0.900,0.000
0.060,8.624,8.034,8.045,0.900,0.000
0.070,8.624,8.029,8.042,0.900,0.000
0.080,8.624,8.036,8.042,0.900,0.000
0.090,8.624,8.026,8.032,0.900,0.000
0.100,8.624,8.024,8.029,0.900,0.000
0.110,8.624,8.021,8.027,0.900,0.000
0.120,8.624,8.031,8.024,0.900,0.000
0.130,8.624,8.026,8.024,0.900,0.000
0.140,8.630,8.021,8.024,0.900,0.000
0.150,8.627,8.026,8.027,0.900,0.000
0.160,8.624,8.029,8.021,0.900,0.000
0.170,8.630,8.024,8.016,0.900,0.000
0.180,8.619,8.024,8.024,0.900,0.000
0.190,8.624,8.024,8.019,0.900,0.000
0.200,8.621,8.029,8.021,0.900,0.000
0.210,8.630,8.026,8.021,0.900,0.000
0.220,8.621,8.024,8.021,0.900,0.000
0.230,8.627,8.021,8.019,0.900,0.000
0.240,8.627,8.024,8.016,0.900,0.000
0.250,8.624,8.024,8.019,0.900,0.000
0.260,8.624,8.026,8.014,0.900,0.000
0.270,8.621,8.026,8.016,0.900,0.000
0.280,8.627,8.024,8.021,0.900,0.000
0.290,8.621,8.026,8.021,0.900,0.000
0.300,8.624,8.026,8.021,0.900,0.000
0.310,8.621,8.021,8.016,0.900,0.000
0.320,8.621,8.021,8.016,0.900,0.000
0.330,8.627,8.024,8.014,0.900,0.000
0.340,8.621,8.029,8.016,0.900,0.000
0.350,8.627,8.021,8.019,0.900,0.000
0.360,8.627,8.024,8.016,0.900,0.000
0.370,8.621,8.021,8.016,0.900,0.000
0.380,8.627,8.021,8.016,0.900,0.000
0.390,8.624,8.024,8.016,0.900,0.000
0.400,8.624,8.021,8.014,0.900,0.000
0.410,8.624,8.024,8.021,0.900,0.000
0.420,8.627,8.029,8.011,0.900,0.000
0.430,8.627,8.024,8.016,0.900,0.000
0.440,8.619,8.026,8.016,0.900,0.000
0.450,8.624,8.026,8.016,0.900,0.000
0.460,8.627,8.024,8.016,0.900,0.000
0.470,8.627,8.026,8.016,0.900,0.000
0.480,8.624,8.026,8.016,0.900,0.000
0.490,8.627,8.024,8.016,0.900,0.000
0.500,8.621,8.026,8.016,0.900,0.000
0.510,8.621,8.026,8.014,0.900,0.000
0.520,8.619,8.024,8.014,0.900,0.000
0.530,8.621,8.024,8.016,0.900,0.000
0.540,8.621,8.026,8.019,0.900,0.000
0.550,8.621,8.026,8.019,0.900,0.000
0.560,8.624,8.024,8.016,0.900,0.000
0.570,8.627,8.021,8.019,0.900,0.000
0.580,8.624,8.024,8.016,0.900,0.000
0.590,8.621,8.019,8.016,0.900,0.000
0.600,8.624,8.024,8.011,0.900,0.000
0.610,8.627,8.029,8.019,0.900,0.000
0.620,8.624,8.026,8.019,0.900,0.000
0.630,8.624,8.024,8.014,0.900,0.000
0.640,8.621,8.026,8.014,0.900,0.000
0.650,8.621,8.026,8.014,0.900,0.000
0.660,8.624,8.026,8.016,0.900,0.000
0.670,8.621,8.026,8.016,0.900,0.000
0.680,8.624,8.026,8.021,0.900,0.000
0.690,8.627,8.026,8.014,0.900,0.000
0.700,8.624,8.024,8.016,0.900,0.000
0.710,8.624,8.026,8.016,0.900,0.000
0.720,8.624,8.021,8.016,0.900,0.000
0.730,8.624,8.021,8.014,0.900,0.000
0.740,8.621,8.026,8.019,0.900,0.000
0.750,8.624,8.026,8.016,0.900,0.000
0.760,8.624,8.026,8.016,0.900,0.000
0.770,8.621,8.026,8.014,0.900,0.000
0.780,8.624,8.029,8.016,0.900,0.000
0.790,8.627,8.024,8.019,0.900,0.000
0.800,8.621,8.026,8.011,0.900,0.000
0.810,8.621,8.029,8.021,0.900,0.000
0.820,8.624,8.024,8.011,0.900,0.000
0.830,8.624,8.029,8.011,0.900,0.000
0.840,8.627,8.029,8.014,0.900,0.000
0.850,8.624,8.026,8.014,0.900,0.000
0.860,8.624,8.024,8.014,0.900,0.000
0.870,8.627,8.026,8.016,0.900,0.000
0.880,8.627,8.031,8.019,0.900,0.000
0.890,8.624,8.026,8.014,0.900,0.000
0.900,8.621,8.026,8.014,0.900,0.000
